Territory,Topic,Category,Location,Impact,Reference,Units,Value
Afghanistan,GHG Emissions,N/A for GHG,N/A for GHG,N/A for GHG,GHG Emissions,$/tCO2e,236.00
Afghanistan,Water Consumption,N/A for WC,N/A for WC,Malnutrition,Water Consumption_N/A for WC_N/A for WC_Malnutrition,USD/m3,0.49
Afghanistan,Water Consumption,N/A for WC,N/A for WC,Water-borne disease,Water Consumption_N/A for WC_N/A for WC_Water-borne disease,USD/m3,0.06
Afghanistan,Water Consumption,N/A for WC,N/A for WC,Resource cost,Water Consumption_N/A for WC_N/A for WC_Resource cost,USD/m3,0.32
Afghanistan,Water Consumption,N/A for WC,N/A for WC,Ecosystem services,Water Consumption_N/A for WC_N/A for WC_Ecosystem services,USD/m3,0.28
Afghanistan,Waste,Hazardous,Landfill,Leachate,Waste_Hazardous_Landfill_Leachate,$/kg,18.19
Afghanistan,Waste,Hazardous,Landfill,Waste GHGs,Waste_Hazardous_Landfill_Waste GHGs,$/kg,179.15
Afghanistan,Waste,Hazardous,Landfill,Disamenity,Waste_Hazardous_Landfill_Disamenity,$/kg,45.96
Afghanistan,Waste,Non-Hazardous,Landfill,Leachate,Waste_Non-Hazardous_Landfill_Leachate,$/kg,0.30
Afghanistan,Waste,Non-Hazardous,Landfill,Waste GHGs,Waste_Non-Hazardous_Landfill_Waste GHGs,$/kg,179.15
Afghanistan,Waste,Non-Hazardous,Landfill,Disamenity,Waste_Non-Hazardous_Landfill_Disamenity,$/kg,45.96
Afghanistan,Waste,Hazardous,Incineration,Waste GHGs,Waste_Hazardous_Incineration_Waste GHGs,$/kg,386.36
Afghanistan,Waste,Hazardous,Incineration,Disamenity,Waste_Hazardous_Incineration_Disamenity,$/kg,3.01
Afghanistan,Waste,Hazardous,Incineration,Waste Air pollution,Waste_Hazardous_Incineration_Waste Air pollution,$/kg,18.28
Afghanistan,Waste,Hazardous,Incineration,Heavy metals and dioxins,Waste_Hazardous_Incineration_Heavy metals and dioxins,$/kg,4.93
Afghanistan,Waste,Non-Hazardous,Incineration,Waste GHGs,Waste_Non-Hazardous_Incineration_Waste GHGs,$/kg,124.02
Afghanistan,Waste,Non-Hazardous,Incineration,Disamenity,Waste_Non-Hazardous_Incineration_Disamenity,$/kg,3.01
Afghanistan,Waste,Non-Hazardous,Incineration,Waste Air pollution,Waste_Non-Hazardous_Incineration_Waste Air pollution,$/kg,18.28
Afghanistan,Waste,Non-Hazardous,Incineration,Heavy metals and dioxins,Waste_Non-Hazardous_Incineration_Heavy metals and dioxins,$/kg,4.93
Afghanistan,Waste,Hazardous,Unspecified,Leachate,Waste_Hazardous_Unspecified_Leachate,$/kg,0.00
Afghanistan,Waste,Hazardous,Unspecified,Waste Air pollution,Waste_Hazardous_Unspecified_Waste Air pollution,$/kg,18.28
Afghanistan,Waste,Hazardous,Unspecified,Heavy metals and dioxins,Waste_Hazardous_Unspecified_Heavy metals and dioxins,$/kg,4.93
Afghanistan,Waste,Hazardous,Unspecified,Disamenity,Waste_Hazardous_Unspecified_Disamenity,$/kg,3.01
Afghanistan,Waste,Hazardous,Unspecified,Waste GHGs,Waste_Hazardous_Unspecified_Waste GHGs,$/kg,386.36
Afghanistan,Waste,Non-Hazardous,Unspecified,Leachate,Waste_Non-Hazardous_Unspecified_Leachate,$/kg,0.30
Afghanistan,Waste,Non-Hazardous,Unspecified,Waste Air pollution,Waste_Non-Hazardous_Unspecified_Waste Air pollution,$/kg,0.00
Afghanistan,Waste,Non-Hazardous,Unspecified,Heavy metals and dioxins,Waste_Non-Hazardous_Unspecified_Heavy metals and dioxins,$/kg,0.00
Afghanistan,Waste,Non-Hazardous,Unspecified,Disamenity,Waste_Non-Hazardous_Unspecified_Disamenity,$/kg,45.96
Afghanistan,Waste,Non-Hazardous,Unspecified,Waste GHGs,Waste_Non-Hazardous_Unspecified_Waste GHGs,$/kg,179.15
Afghanistan,Air Pollution,PM2.5,Urban,Primary Health,Air Pollution_PM2.5_Urban_Primary Health,$/tonne,"40,495.28"
Afghanistan,Air Pollution,PM2.5,Peri-Urban,Primary Health,Air Pollution_PM2.5_Peri-Urban_Primary Health,$/tonne,"34,468.58"
Afghanistan,Air Pollution,PM2.5,Rural,Primary Health,Air Pollution_PM2.5_Rural_Primary Health,$/tonne,"19,386.52"
Afghanistan,Air Pollution,PM2.5,Transport,Primary Health,Air Pollution_PM2.5_Transport_Primary Health,$/tonne,"31,346.36"
